	match_id	minute	gold_or_xp	value
202	5981243108	10	0	2028
203	5981243108	11	0	1880
204	5981243108	12	0	1371
205	5981243108	13	0	2145
206	5981243108	14	0	2335
207	5981243108	15	0	2713
208	5981243108	16	0	3470
209	5981243108	17	0	5809
210	5981243108	18	0	6768
211	5981243108	19	0	7111
212	5981243108	20	0	7577
213	5981243108	21	0	9470
214	5981243108	22	0	11431
215	5981243108	23	0	12422
216	5981243108	24	0	15209
217	5981243108	25	0	15356
218	5981243108	26	0	17441
219	5981243108	27	0	18757
220	5981243108	28	0	20790
221	5981243108	29	0	21174
222	5981243108	30	0	19769
223	5981243108	31	0	20543
224	5981243108	32	0	21362
225	5981243108	33	0	22854
226	5981243108	0	1	-48
227	5981243108	1	1	241
228	5981243108	2	1	-48
229	5981243108	3	1	231
230	5981243108	4	1	-213
231	5981243108	5	1	499
232	5981243108	6	1	591
233	5981243108	7	1	1364
234	5981243108	8	1	951
235	5981243108	9	1	1569
236	5981243108	10	1	1062
237	5981243108	11	1	766
238	5981243108	12	1	1194
239	5981243108	13	1	2063
240	5981243108	14	1	2410
241	5981243108	15	1	3220
242	5981243108	16	1	4536
243	5981243108	17	1	9074
244	5981243108	18	1	10660
245	5981243108	19	1	10867
246	5981243108	20	1	10750
247	5981243108	21	1	12289
248	5981243108	22	1	14230
249	5981243108	23	1	17210
250	5981243108	24	1	17774
251	5981243108	25	1	17924
252	5981243108	26	1	22269
253	5981243108	27	1	22966
254	5981243108	28	1	25128
255	5981243108	29	1	25642
256	5981243108	30	1	21588
257	5981243108	31	1	25564
258	5981243108	32	1	26866
259	5981243108	33	1	30252
260	5981217610	0	0	0
261	5981217610	1	0	90
262	5981217610	2	0	470
263	5981217610	3	0	630
264	5981217610	4	0	684
265	5981217610	5	0	1012
266	5981217610	6	0	553
267	5981217610	7	0	926
268	5981217610	8	0	1158
269	5981217610	9	0	1211
270	5981217610	10	0	2542
271	5981217610	11	0	2143
272	5981217610	12	0	2807
273	5981217610	13	0	2242
274	5981217610	14	0	2040
275	5981217610	15	0	2907
276	5981217610	16	0	3071
277	5981217610	17	0	2703
278	5981217610	18	0	3626
279	5981217610	19	0	3812
280	5981217610	20	0	3330
281	5981217610	21	0	4676
282	5981217610	22	0	5612
283	5981217610	23	0	7889
284	5981217610	24	0	7329
285	5981217610	25	0	7071
286	5981217610	26	0	7257
287	5981217610	27	0	6379
288	5981217610	28	0	5296
289	5981217610	29	0	4647
290	5981217610	30	0	3792
291	5981217610	31	0	3049
292	5981217610	32	0	2364
293	5981217610	33	0	1353
294	5981217610	34	0	2301
295	5981217610	35	0	3128
296	5981217610	36	0	3329
297	5981217610	37	0	1577
298	5981217610	38	0	-1
299	5981217610	39	0	-1829
300	5981217610	40	0	-1935
301	5981217610	41	0	-6185
302	5981217610	42	0	-12053
303	5981217610	43	0	-12830
304	5981217610	44	0	-12696
305	5981217610	45	0	-13212
306	5981217610	46	0	-14846
307	5981217610	0	1	0
308	5981217610	1	1	158
309	5981217610	2	1	565
310	5981217610	3	1	618
311	5981217610	4	1	986
312	5981217610	5	1	1170
313	5981217610	6	1	674
314	5981217610	7	1	1027
315	5981217610	8	1	1428
316	5981217610	9	1	1721
317	5981217610	10	1	2443
318	5981217610	11	1	1065
319	5981217610	12	1	2139
320	5981217610	13	1	2170
321	5981217610	14	1	2190
322	5981217610	15	1	3585
323	5981217610	16	1	3689
324	5981217610	17	1	2156
325	5981217610	18	1	3803
326	5981217610	19	1	3621
327	5981217610	20	1	2499
328	5981217610	21	1	5475
329	5981217610	22	1	4486
330	5981217610	23	1	7960
331	5981217610	24	1	7112
332	5981217610	25	1	5783
333	5981217610	26	1	6396
334	5981217610	27	1	6060
335	5981217610	28	1	5297
336	5981217610	29	1	3343
337	5981217610	30	1	484
338	5981217610	31	1	-181
339	5981217610	32	1	-1606
340	5981217610	33	1	-3423
341	5981217610	34	1	-2737
342	5981217610	35	1	-2743
343	5981217610	36	1	-3046
344	5981217610	37	1	-3626
345	5981217610	38	1	-8078
346	5981217610	39	1	-9316
347	5981217610	40	1	-9491
348	5981217610	41	1	-21628
349	5981217610	42	1	-25478
350	5981217610	43	1	-26350
351	5981217610	44	1	-26903
352	5981217610	45	1	-30524
353	5981217610	46	1	-31737
354	5981188071	0	0	0
355	5981188071	1	0	53
356	5981188071	2	0	95
357	5981188071	3	0	588
358	5981188071	4	0	164
359	5981188071	5	0	194
360	5981188071	6	0	612
361	5981188071	7	0	1321
362	5981188071	8	0	986
363	5981188071	9	0	1419
364	5981188071	10	0	871
365	5981188071	11	0	146
366	5981188071	12	0	1146
367	5981188071	13	0	1917
368	5981188071	14	0	2015
369	5981188071	15	0	1592
370	5981188071	16	0	1533
371	5981188071	17	0	2426
372	5981188071	18	0	3573
373	5981188071	19	0	5318
374	5981188071	20	0	6123
375	5981188071	21	0	8032
376	5981188071	22	0	8644
377	5981188071	23	0	11367
378	5981188071	24	0	12380
379	5981188071	25	0	13904
380	5981188071	26	0	15205
381	5981188071	27	0	15521
382	5981188071	28	0	15507
383	5981188071	29	0	16990
384	5981188071	30	0	17134
385	5981188071	31	0	19675
386	5981188071	32	0	19801
387	5981188071	0	1	0
388	5981188071	1	1	210
389	5981188071	2	1	257
390	5981188071	3	1	691
391	5981188071	4	1	348
392	5981188071	5	1	334
393	5981188071	6	1	963
394	5981188071	7	1	1112
395	5981188071	8	1	528
396	5981188071	9	1	845
397	5981188071	10	1	-195
398	5981188071	11	1	-1150
399	5981188071	12	1	-560
400	5981188071	13	1	1122
401	5981188071	14	1	803
402	5981188071	15	1	24
403	5981188071	16	1	752
404	5981188071	17	1	2598
405	5981188071	18	1	4951
406	5981188071	19	1	6646
407	5981188071	20	1	8649
408	5981188071	21	1	10806
409	5981188071	22	1	10979
410	5981188071	23	1	15538
411	5981188071	24	1	16902
412	5981188071	25	1	19311
413	5981188071	26	1	20514
414	5981188071	27	1	21102
415	5981188071	28	1	20421
416	5981188071	29	1	23932
417	5981188071	30	1	26012
418	5981188071	31	1	26754
419	5981188071	32	1	27306
420	5981165757	0	0	0
421	5981165757	1	0	196
422	5981165757	2	0	659
423	5981165757	3	0	576
424	5981165757	4	0	767
425	5981165757	5	0	698
426	5981165757	6	0	905
427	5981165757	7	0	1452
428	5981165757	8	0	1399
429	5981165757	9	0	1910
430	5981165757	10	0	1613
431	5981165757	11	0	1786
432	5981165757	12	0	1546
433	5981165757	13	0	2231
434	5981165757	14	0	1353
435	5981165757	15	0	1215
436	5981165757	16	0	1382
437	5981165757	17	0	2272
438	5981165757	18	0	2130
439	5981165757	19	0	2566
440	5981165757	20	0	1708
441	5981165757	21	0	2171
442	5981165757	22	0	4238
443	5981165757	23	0	7203
444	5981165757	0	1	0
445	5981165757	1	1	211
446	5981165757	2	1	399
447	5981165757	3	1	474
448	5981165757	4	1	726
449	5981165757	5	1	393
450	5981165757	6	1	371
451	5981165757	7	1	758
452	5981165757	8	1	1300
453	5981165757	9	1	2330
454	5981165757	10	1	1656
455	5981165757	11	1	1881
456	5981165757	12	1	2235
457	5981165757	13	1	3515
458	5981165757	14	1	2397
459	5981165757	15	1	1340
460	5981165757	16	1	485
461	5981165757	17	1	1836
462	5981165757	18	1	1501
463	5981165757	19	1	1690
464	5981165757	20	1	1700
465	5981165757	21	1	600
466	5981165757	22	1	4831
467	5981165757	23	1	7128
468	5981141067	0	0	0
469	5981141067	1	0	263
470	5981141067	2	0	379
471	5981141067	3	0	209
472	5981141067	4	0	-22
473	5981141067	5	0	-345
474	5981141067	6	0	27
475	5981141067	7	0	-329
476	5981141067	8	0	-353
477	5981141067	9	0	-640
478	5981141067	10	0	-766
479	5981141067	11	0	-662
480	5981141067	12	0	288
481	5981141067	13	0	-880
482	5981141067	14	0	-1164
483	5981141067	15	0	-1174
484	5981141067	16	0	-580
485	5981141067	17	0	-261
486	5981141067	18	0	354
487	5981141067	19	0	-50
488	5981141067	20	0	-809
489	5981141067	21	0	-796
490	5981141067	22	0	1174
491	5981141067	23	0	934
492	5981141067	24	0	812
493	5981141067	25	0	-198
494	5981141067	26	0	-1140
495	5981141067	27	0	-3454
496	5981141067	28	0	-4734
497	5981141067	29	0	-5118
498	5981141067	30	0	-5510
499	5981141067	31	0	-6322
500	5981141067	32	0	-9938
501	5981141067	33	0	-11592
502	5981141067	34	0	-12759
503	5981141067	35	0	-16138
504	5981141067	0	1	0
505	5981141067	1	1	304
506	5981141067	2	1	268
507	5981141067	3	1	327
508	5981141067	4	1	24
509	5981141067	5	1	-263
510	5981141067	6	1	541
511	5981141067	7	1	168
512	5981141067	8	1	189
513	5981141067	9	1	-263
514	5981141067	10	1	-368
515	5981141067	11	1	-475
516	5981141067	12	1	604
517	5981141067	13	1	-1619
518	5981141067	14	1	-2028
519	5981141067	15	1	-3247
520	5981141067	16	1	-3129
521	5981141067	17	1	-1622
522	5981141067	18	1	-264
523	5981141067	19	1	-450
524	5981141067	20	1	-2473
525	5981141067	21	1	-1910
526	5981141067	22	1	2343
527	5981141067	23	1	2731
528	5981141067	24	1	2765
529	5981141067	25	1	2553
530	5981141067	26	1	302
531	5981141067	27	1	-3532
532	5981141067	28	1	-4132
533	5981141067	29	1	-4509
534	5981141067	30	1	-5192
535	5981141067	31	1	-5600
536	5981141067	32	1	-15423
537	5981141067	33	1	-16340
538	5981141067	34	1	-18391
539	5981141067	35	1	-19307
540	5981119850	0	0	0
541	5981119850	1	0	115
542	5981119850	2	0	-38
543	5981119850	3	0	-430
544	5981119850	4	0	-316
545	5981119850	5	0	-140
546	5981119850	6	0	-508
547	5981119850	7	0	-393
548	5981119850	8	0	-405
549	5981119850	9	0	-82
550	5981119850	10	0	214
551	5981119850	11	0	-162
552	5981119850	12	0	-833
553	5981119850	13	0	-2370
554	5981119850	14	0	-2574
555	5981119850	15	0	-3515
556	5981119850	16	0	-3574
557	5981119850	17	0	-4284
558	5981119850	18	0	-5522
559	5981119850	19	0	-5031
560	5981119850	20	0	-4836
561	5981119850	21	0	-3225
562	5981119850	22	0	-635
563	5981119850	23	0	-1196
564	5981119850	24	0	-966
565	5981119850	25	0	-74
566	5981119850	26	0	1546
567	5981119850	27	0	2350
568	5981119850	28	0	2636
569	5981119850	29	0	6228
570	5981119850	30	0	10904
571	5981119850	0	1	0
572	5981119850	1	1	270
573	5981119850	2	1	31
574	5981119850	3	1	236
575	5981119850	4	1	27
576	5981119850	5	1	294
577	5981119850	6	1	-222
578	5981119850	7	1	170
579	5981119850	8	1	200
580	5981119850	9	1	493
581	5981119850	10	1	514
582	5981119850	11	1	-1012
583	5981119850	12	1	-1875
584	5981119850	13	1	-3677
585	5981119850	14	1	-4095
586	5981119850	15	1	-7264
587	5981119850	16	1	-7402
588	5981119850	17	1	-8432
589	5981119850	18	1	-9305
590	5981119850	19	1	-8061
591	5981119850	20	1	-7769
592	5981119850	21	1	-4654
593	5981119850	22	1	-1861
594	5981119850	23	1	-2959
595	5981119850	24	1	-2913
596	5981119850	25	1	-2632
597	5981119850	26	1	724
598	5981119850	27	1	-271
599	5981119850	28	1	1185
600	5981119850	29	1	13508
601	5981119850	30	1	15392
602	5981100581	0	0	0
603	5981100581	1	0	-244
604	5981100581	2	0	-79
605	5981100581	3	0	-181
606	5981100581	4	0	-512
607	5981100581	5	0	-704
608	5981100581	6	0	-435
609	5981100581	7	0	-800
610	5981100581	8	0	-1256
611	5981100581	9	0	-1923
612	5981100581	10	0	-1303
613	5981100581	11	0	-1820
614	5981100581	12	0	-1792
615	5981100581	13	0	-1630
616	5981100581	14	0	-3190
617	5981100581	15	0	-4506
618	5981100581	16	0	-4866
619	5981100581	17	0	-4156
620	5981100581	18	0	-5441
621	5981100581	19	0	-6517
622	5981100581	20	0	-6604
623	5981100581	21	0	-9668
624	5981100581	0	1	0
625	5981100581	1	1	-258
626	5981100581	2	1	121
627	5981100581	3	1	-44
628	5981100581	4	1	-442
629	5981100581	5	1	-596
630	5981100581	6	1	-149
631	5981100581	7	1	-1232
632	5981100581	8	1	-1340
633	5981100581	9	1	-1755
634	5981100581	10	1	-740
635	5981100581	11	1	-1713
636	5981100581	12	1	-2353
637	5981100581	13	1	-1884
638	5981100581	14	1	-2772
639	5981100581	15	1	-4418
640	5981100581	16	1	-4529
641	5981100581	17	1	-4223
642	5981100581	18	1	-6530
643	5981100581	19	1	-8553
644	5981100581	20	1	-8166
645	5981100581	21	1	-14340
646	5981096443	0	0	0
647	5981096443	1	0	664
648	5981096443	2	0	595
649	5981096443	3	0	798
650	5981096443	4	0	623
651	5981096443	5	0	885
652	5981096443	6	0	808
653	5981096443	7	0	650
654	5981096443	8	0	347
655	5981096443	9	0	735
656	5981096443	10	0	730
657	5981096443	11	0	1172
658	5981096443	12	0	1141
659	5981096443	13	0	-315
660	5981096443	14	0	-194
661	5981096443	15	0	-487
662	5981096443	16	0	658
663	5981096443	17	0	-535
664	5981096443	18	0	-99
665	5981096443	19	0	601
666	5981096443	20	0	937
667	5981096443	21	0	3031
668	5981096443	22	0	5003
669	5981096443	23	0	6851
670	5981096443	24	0	6660
671	5981096443	25	0	6434
672	5981096443	26	0	8360
673	5981096443	0	1	0
674	5981096443	1	1	477
675	5981096443	2	1	483
676	5981096443	3	1	209
677	5981096443	4	1	779
678	5981096443	5	1	482
679	5981096443	6	1	110
680	5981096443	7	1	211
681	5981096443	8	1	226
682	5981096443	9	1	544
683	5981096443	10	1	718
684	5981096443	11	1	2084
685	5981096443	12	1	1845
686	5981096443	13	1	-474
687	5981096443	14	1	-186
688	5981096443	15	1	-2323
689	5981096443	16	1	-525
690	5981096443	17	1	-2314
691	5981096443	18	1	-1376
692	5981096443	19	1	268
693	5981096443	20	1	-739
694	5981096443	21	1	1816
695	5981096443	22	1	3946
696	5981096443	23	1	5881
697	5981096443	24	1	4504
698	5981096443	25	1	4317
699	5981096443	26	1	7741
700	5981064408	0	0	0
701	5981064408	1	0	346
702	5981064408	2	0	213
703	5981064408	3	0	40
704	5981064408	4	0	-584
705	5981064408	5	0	-314
706	5981064408	6	0	-648
707	5981064408	7	0	-358
708	5981064408	8	0	1102
709	5981064408	9	0	-187
710	5981064408	10	0	-368
711	5981064408	11	0	-555
712	5981064408	12	0	-1103
713	5981064408	13	0	-2131
714	5981064408	14	0	-3252
715	5981064408	15	0	-4039
716	5981064408	16	0	-3242
717	5981064408	17	0	-4051
718	5981064408	18	0	-6220
719	5981064408	19	0	-5498
720	5981064408	20	0	-6048
721	5981064408	21	0	-5426
722	5981064408	22	0	-7993
723	5981064408	23	0	-8106
724	5981064408	24	0	-8644
725	5981064408	25	0	-8574
726	5981064408	26	0	-7473
727	5981064408	27	0	-8603
728	5981064408	28	0	-9453
729	5981064408	29	0	-11063
730	5981064408	30	0	-13252
731	5981064408	0	1	0
732	5981064408	1	1	63
733	5981064408	2	1	-258
734	5981064408	3	1	-216
735	5981064408	4	1	-981
736	5981064408	5	1	-901
737	5981064408	6	1	-1197
738	5981064408	7	1	-1220
739	5981064408	8	1	15
740	5981064408	9	1	-921
741	5981064408	10	1	-1149
742	5981064408	11	1	-1042
743	5981064408	12	1	-1959
744	5981064408	13	1	-2340
745	5981064408	14	1	-4540
746	5981064408	15	1	-5831
747	5981064408	16	1	-4245
748	5981064408	17	1	-5906
749	5981064408	18	1	-9023
750	5981064408	19	1	-8250
751	5981064408	20	1	-8452
752	5981064408	21	1	-6754
