	match_id	account_id	player_slot	hero_id	time	x	y	type
6820	5977269883	68007361	132	86	1228	152	138	1
6821	5977171027	35504297	0	110	363	148	104	0
6822	5977171027	35504297	0	110	775	162	132	0
6823	5977171027	35504297	0	110	931	132	158	0
6824	5977171027	35504297	0	110	1158	106	154	0
6825	5977171027	35504297	0	110	1170	110	138	0
6826	5977171027	35504297	0	110	1648	106	154	0
6827	5977171027	35504297	0	110	1807	144	122	0
6828	5977171027	35504297	0	110	1988	164	134	0
6829	5977171027	35504297	0	110	28	160	96	1
6830	5977171027	35504297	0	110	196	156	126	1
6831	5977171027	35504297	0	110	362	150	102	1
6832	5977171027	35504297	0	110	556	100	158	1
6833	5977171027	35504297	0	110	774	158	132	1
6834	5977171027	35504297	0	110	780	150	122	1
6835	5977171027	35504297	0	110	917	126	138	1
6836	5977171027	35504297	0	110	928	126	156	1
6837	5977171027	35504297	0	110	1090	124	136	1
6838	5977171027	35504297	0	110	1125	130	128	1
6839	5977171027	35504297	0	110	1170	110	138	1
6840	5977171027	35504297	0	110	1315	152	172	1
6841	5977171027	35504297	0	110	1722	160	154	1
6842	5977171027	35504297	0	110	1751	142	150	1
6843	5977171027	35504297	0	110	1793	132	150	1
6844	5977171027	35504297	0	110	1820	148	122	1
6845	5977171027	35504297	0	110	1832	162	134	1
6846	5977171027	35504297	0	110	1957	150	104	1
6847	5977171027	35504297	0	110	1997	180	144	1
6848	5977171027	35504297	0	110	2012	178	148	1
6849	5977171027	140297552	2	128	-35	116	126	0
6850	5977171027	140297552	2	128	357	116	126	0
6851	5977171027	98167706	3	86	-48	82	172	0
6852	5977171027	98167706	3	86	218	94	140	0
6853	5977171027	98167706	3	86	508	104	154	0
6854	5977171027	98167706	3	86	1099	134	132	0
6855	5977171027	98167706	3	86	1289	146	158	0
6856	5977171027	98167706	3	86	1555	122	144	0
6857	5977171027	98167706	3	86	148	92	156	1
6858	5977171027	98167706	3	86	506	98	156	1
6859	5977171027	98167706	3	86	1285	130	160	1
6860	5977171027	98167706	3	86	1533	122	144	1
6861	5977171027	55649904	128	21	-53	132	124	0
6862	5977171027	55649904	128	21	402	132	124	0
6863	5977171027	55649904	128	21	857	94	120	0
6864	5977171027	55649904	128	21	420	122	124	1
6865	5977171027	55649904	128	21	584	122	144	1
6866	5977171027	55649904	128	21	966	164	134	1
6867	5977171027	119180054	129	102	220	104	156	0
6868	5977171027	119180054	129	102	557	116	164	0
6869	5977171027	119180054	129	102	806	132	150	0
